NIST 800-171,Control Name,Family,Microsoft Product,Workload,Table,KQL
3.1.1,Limit system access to authorized users,Access Control,Entra ID,Identity Protection,AADRiskyUsers,"// NIST 3.1.1 - Risky User Inventory
// Part 0: Analyst-Driven Targeting
let TargetUsers = dynamic([""*""]);
let MinRiskLevel = dynamic([""low"", ""medium"", ""high""]);
// Part 1: Base Filter
AADRiskyUsers
| where TimeGenerated > ago(30d)
| where (UserPrincipalName has_any (TargetUsers) or TargetUsers has ""*"")
| where RiskLevel has_any (MinRiskLevel)
// Part 2: Enrichment
| summarize arg_max(TimeGenerated, *) by UserPrincipalName
// Final Output
| project TimeGenerated, UserPrincipalName, UserDisplayName, RiskLevel, RiskState, RiskDetail, RiskLastUpdatedDateTime, IsDeleted, IsProcessing
| sort by RiskLevel desc
| take 50"
3.1.1,Limit system access to authorized users,Access Control,Entra ID,Risk Events,AADUserRiskEvents,"// NIST 3.1.1 - User Risk Detections
// Part 0: Analyst-Driven Targeting
let TargetUsers = dynamic([""*""]);
let TargetRiskTypes = dynamic([""*""]);
let LookbackDays = 30;
// Part 1: Base Filter
AADUserRiskEvents
| where TimeGenerated > ago(LookbackDays * 1d)
| where (UserPrincipalName has_any (TargetUsers) or TargetUsers has ""*"")
| where (RiskEventType has_any (TargetRiskTypes) or TargetRiskTypes has ""*"")
// Final Output
| project TimeGenerated, UserPrincipalName, UserDisplayName, RiskEventType, RiskLevel, RiskState, RiskDetail, IpAddress, Location, DetectionTimingType, Source
| sort by TimeGenerated desc
| take 50"
3.1.2,Limit system access to authorized functions,Access Control,Entra ID,Workload Identity,AADServicePrincipalSignInLogs,"// NIST 3.1.2 - Service Principal Sign-In Activity
// Part 0: Analyst-Driven Targeting
let TargetApps = dynamic([""*""]);
let TargetResources = dynamic([""*""]);
let LookbackDays = 30;
// Part 1: Base Filter
AADServicePrincipalSignInLogs
| where TimeGenerated > ago(LookbackDays * 1d)
| where (ServicePrincipalName has_any (TargetApps) or TargetApps has ""*"")
| where (ResourceDisplayName has_any (TargetResources) or TargetResources has ""*"")
// Part 2: Enrichment
| extend StatusCode = tostring(Status.errorCode)
// Final Output
| project TimeGenerated, ServicePrincipalName, ServicePrincipalId, ResourceDisplayName, IPAddress, ResultType, StatusCode, AppId
| sort by TimeGenerated desc
| take 50"
3.1.2,Limit system access to authorized functions,Access Control,Entra ID,Workload Identity,AADManagedIdentitySignInLogs,"// NIST 3.1.2 - Managed Identity Sign-In Activity
// Part 0: Analyst-Driven Targeting
let TargetMIs = dynamic([""*""]);
let LookbackDays = 30;
// Part 1: Base Filter
AADManagedIdentitySignInLogs
| where TimeGenerated > ago(LookbackDays * 1d)
| where (ServicePrincipalName has_any (TargetMIs) or TargetMIs has ""*"")
// Final Output
| project TimeGenerated, ServicePrincipalName, ResourceDisplayName, IPAddress, ResultType, Location, FederatedCredentialId
| sort by TimeGenerated desc
| take 50"
3.1.2,Limit system access to authorized functions,Access Control,Entra ID,App Consent/Permissions,AuditLogs,"// NIST 3.1.2 - App Consent and Permission Grants
// Part 0: Analyst-Driven Targeting
let TargetOperations = dynamic([""Consent to application"", ""Add app role assignment grant to user"", ""Add delegated permission grant"", ""Add app role assignment to service principal"", ""Add OAuth2PermissionGrant""]);
let LookbackDays = 30;
// Part 1: Base Filter
AuditLogs
| where TimeGenerated > ago(LookbackDays * 1d)
| where OperationName has_any (TargetOperations)
// Part 2: Enrichment
| extend InitiatedBy_User = tostring(InitiatedBy.user.userPrincipalName)
| extend InitiatedBy_App = tostring(InitiatedBy.app.displayName)
| extend TargetApp = tostring(TargetResources[0].displayName)
| extend TargetAppId = tostring(TargetResources[0].id)
// Final Output
| project TimeGenerated, OperationName, InitiatedBy_User, InitiatedBy_App, TargetApp, TargetAppId, Result, Category
| sort by TimeGenerated desc
| take 50"
3.1.2,Limit system access to authorized functions,Access Control,Entra ID,Graph API Activity,MicrosoftGraphActivityLogs,"// NIST 3.1.2 - Microsoft Graph API Call Monitoring
// Part 0: Analyst-Driven Targeting
let TargetScopes = dynamic([""*""]);
let TargetMethods = dynamic([""PATCH"", ""POST"", ""DELETE"", ""PUT""]);
let LookbackDays = 30;
// Part 1: Base Filter
MicrosoftGraphActivityLogs
| where TimeGenerated > ago(LookbackDays * 1d)
| where RequestMethod has_any (TargetMethods)
// Part 2: Enrichment
| extend UriPath = tostring(parse_url(RequestUri).Path)
| extend IsPrivileged = UriPath has_any (""roleManagement"", ""directoryRoles"", ""appRoleAssignments"", ""oauth2PermissionGrants"", ""policies"")
// Final Output
| project TimeGenerated, RequestMethod, UriPath, ResponseStatusCode, AppId, ServicePrincipalId, UserId, IPAddress, IsPrivileged, UserAgent
| sort by TimeGenerated desc
| take 50"
3.1.2,Limit system access to authorized functions,Access Control,Entra ID,Risky Service Principals,AADRiskyServicePrincipals,"// NIST 3.1.2 - Risky Service Principal Inventory
// Part 0: Analyst-Driven Targeting
let TargetApps = dynamic([""*""]);
// Part 1: Base Filter
AADRiskyServicePrincipals
| where TimeGenerated > ago(30d)
| where (ServicePrincipalName has_any (TargetApps) or TargetApps has ""*"")
// Part 2: Enrichment
| summarize arg_max(TimeGenerated, *) by ServicePrincipalId
// Final Output
| project TimeGenerated, ServicePrincipalName, ServicePrincipalId, AppId, RiskLevel, RiskState, RiskDetail, RiskLastUpdatedDateTime, IsEnabled, IsProcessing
| sort by RiskLevel desc
| take 50"
3.1.2,Limit system access to authorized functions,Access Control,Entra ID,SP Risk Events,AADServicePrincipalRiskEvents,"// NIST 3.1.2 - Service Principal Risk Detections
// Part 0: Analyst-Driven Targeting
let TargetApps = dynamic([""*""]);
let LookbackDays = 30;
// Part 1: Base Filter
AADServicePrincipalRiskEvents
| where TimeGenerated > ago(LookbackDays * 1d)
| where (ServicePrincipalName has_any (TargetApps) or TargetApps has ""*"")
// Final Output
| project TimeGenerated, ServicePrincipalName, ServicePrincipalId, RiskEventType, RiskLevel, RiskState, DetectionTimingType, IpAddress, KeyIds, Source
| sort by TimeGenerated desc
| take 50"
3.1.2,Limit system access to authorized functions,Access Control,Microsoft Defender for Cloud Apps,App Governance,CloudAppEvents,"// NIST 3.1.2 - Cloud App Privilege Escalation and Consent
// Part 0: Analyst-Driven Targeting
let TargetActionTypes = dynamic([""AppConsent"", ""AddAppRoleAssignment"", ""DelegatedPermissionGrant"", ""OAuthAppAuthorization""]);
let LookbackDays = 30;
// Part 1: Base Filter
CloudAppEvents
| where TimeGenerated > ago(LookbackDays * 1d)
| where ActionType has_any (TargetActionTypes)
// Part 2: Enrichment
| extend AccountId = tostring(AccountId)
| extend AppName = tostring(Application)
// Final Output
| project TimeGenerated, ActionType, AccountId, AppName, ObjectName, ObjectType, IPAddress, CountryCode, City
| sort by TimeGenerated desc
| take 50"
3.1.2,Limit system access to authorized functions,Access Control,Microsoft Defender for Endpoint,Process Execution,DeviceProcessEvents,"// NIST 3.1.2 - Unauthorized Process Execution Monitoring
// Part 0: Analyst-Driven Targeting
let TargetDevices = dynamic([""*""]);
let SuspiciousProcesses = dynamic([""powershell.exe"", ""cmd.exe"", ""wscript.exe"", ""cscript.exe"", ""mshta.exe"", ""rundll32.exe"", ""regsvr32.exe"", ""certutil.exe""]);
let LookbackDays = 7;
// Part 1: Base Filter
DeviceProcessEvents
| where Timestamp > ago(LookbackDays * 1d)
| where (DeviceName has_any (TargetDevices) or TargetDevices has ""*"")
| where FileName has_any (SuspiciousProcesses)
// Part 2: Enrichment
| extend CommandLineLength = strlen(ProcessCommandLine)
| extend IsEncoded = ProcessCommandLine has_any (""-enc"", ""-encoded"", ""FromBase64"")
// Final Output
| project Timestamp, DeviceName, FileName, ProcessCommandLine, AccountName, AccountDomain, InitiatingProcessFileName, FolderPath, CommandLineLength, IsEncoded
| sort by Timestamp desc
| take 50"
3.1.2,Limit system access to authorized functions,Access Control,Microsoft Defender for Endpoint,Image Loads,DeviceImageLoadEvents,"// NIST 3.1.2 - DLL/Image Load Monitoring for Unauthorized Libraries
// Part 0: Analyst-Driven Targeting
let TargetDevices = dynamic([""*""]);
let SuspiciousPaths = dynamic([""\\temp\\"", ""\\appdata\\"", ""\\downloads\\"", ""\\public\\""]);
let LookbackDays = 7;
// Part 1: Base Filter
DeviceImageLoadEvents
| where Timestamp > ago(LookbackDays * 1d)
| where (DeviceName has_any (TargetDevices) or TargetDevices has ""*"")
| where FolderPath has_any (SuspiciousPaths)
// Part 2: Enrichment
| extend IsSigned = isnotempty(Signer)
// Final Output
| project Timestamp, DeviceName, FileName, FolderPath, SHA256, Signer, IsSigned, InitiatingProcessFileName, InitiatingProcessFolderPath
| sort by Timestamp desc
| take 50"
3.1.20,Verify and control external connections,Access Control,Entra ID,Cross-Tenant Access,SigninLogs,"// NIST 3.1.20 - Cross-Tenant and External Sign-Ins
// Part 0: Analyst-Driven Targeting
let TargetUsers = dynamic([""*""]);
let HomeTenantId = ""YOUR_TENANT_ID"";
let LookbackDays = 30;
// Part 1: Base Filter
SigninLogs
| where TimeGenerated > ago(LookbackDays * 1d)
| where HomeTenantId != ResourceTenantId or UserType == ""Guest""
| where (UserPrincipalName has_any (TargetUsers) or TargetUsers has ""*"")
// Part 2: Enrichment
| extend CrossTenantType = case(
    HomeTenantId != ResourceTenantId and UserType == ""Guest"", ""Inbound Guest"",
    HomeTenantId != ResourceTenantId and UserType != ""Guest"", ""Outbound to External"",
    ""Other"")
// Final Output
| project TimeGenerated, UserPrincipalName, AppDisplayName, CrossTenantType, HomeTenantId, ResourceTenantId, IPAddress, ResultType, ConditionalAccessStatus
| sort by TimeGenerated desc
| take 50"
3.1.20,Verify and control external connections,Access Control,Microsoft Defender for Cloud Apps,Shadow IT,CloudAppEvents,"// NIST 3.1.20 - Shadow IT and Unsanctioned App Usage
// Part 0: Analyst-Driven Targeting
let TargetUsers = dynamic([""*""]);
let TargetActions = dynamic([""*""]);
let LookbackDays = 30;
// Part 1: Base Filter
CloudAppEvents
| where TimeGenerated > ago(LookbackDays * 1d)
| where (AccountId has_any (TargetUsers) or TargetUsers has ""*"")
// Part 2: Enrichment
| extend AppCategory = tostring(Application)
// Final Output
| project TimeGenerated, ActionType, AccountId, Application, ObjectName, ObjectType, IPAddress, CountryCode, City, UserAgent
| sort by TimeGenerated desc
| take 50"
3.1.20,Verify and control external connections,Access Control,Microsoft Defender for Cloud Apps,App Discovery,McasShadowItReporting,"// NIST 3.1.20 - Discovered Cloud App Inventory
// Part 0: Analyst-Driven Targeting
let MinRiskScore = 0;
let LookbackDays = 30;
// Part 1: Base Filter
McasShadowItReporting
| where TimeGenerated > ago(LookbackDays * 1d)
// Part 2: Enrichment
| summarize TotalTraffic = sum(UploadedBytes + DownloadedBytes), UserCount = dcount(EnrichedUserName), SessionCount = count() by StreamName, AppName = tostring(AppName)
// Final Output
| project AppName, StreamName, TotalTraffic, UserCount, SessionCount
| sort by TotalTraffic desc
| take 50"
3.1.20,Verify and control external connections,Access Control,Microsoft Defender for Endpoint,Network Connections,DeviceNetworkEvents,"// NIST 3.1.20 - Outbound Network Connections to External Systems
// Part 0: Analyst-Driven Targeting
let TargetDevices = dynamic([""*""]);
let SuspiciousPorts = dynamic([445, 3389, 22, 23, 1433, 3306, 5432]);
let LookbackDays = 7;
// Part 1: Base Filter
DeviceNetworkEvents
| where Timestamp > ago(LookbackDays * 1d)
| where (DeviceName has_any (TargetDevices) or TargetDevices has ""*"")
| where ActionType == ""ConnectionSuccess""
| where RemotePort in (SuspiciousPorts) or not(ipv4_is_private(RemoteIP))
// Part 2: Enrichment
| extend IsPublic = not(ipv4_is_private(RemoteIP))
// Final Output
| project Timestamp, DeviceName, InitiatingProcessFileName, RemoteIP, RemotePort, RemoteUrl, LocalIP, LocalPort, IsPublic, Protocol
| sort by Timestamp desc
| take 50"
3.1.20,Verify and control external connections,Access Control,Microsoft Defender for Endpoint,Network Interfaces,DeviceNetworkInfo,"// NIST 3.1.20 - Device Network Configuration Inventory
// Part 0: Analyst-Driven Targeting
let TargetDevices = dynamic([""*""]);
// Part 1: Base Filter
DeviceNetworkInfo
| where Timestamp > ago(1d)
| where (DeviceName has_any (TargetDevices) or TargetDevices has ""*"")
// Part 2: Enrichment
| mv-expand parse_json(IPAddresses)
| extend IPAddress = tostring(IPAddresses.IPAddress)
| extend SubnetPrefix = tostring(IPAddresses.SubnetPrefix)
// Final Output
| project Timestamp, DeviceName, NetworkAdapterName, MacAddress, NetworkAdapterType, IPAddress, SubnetPrefix, ConnectedNetworks, DnsAddresses, TunnelType
| sort by DeviceName asc
| take 50"
3.1.20,Verify and control external connections,Access Control,Azure Firewall,Boundary Protection,AzureDiagnostics,"// NIST 3.1.20 - Azure Firewall External Connection Logging
// Part 0: Analyst-Driven Targeting
let TargetSourceIPs = dynamic([""*""]);
let LookbackDays = 7;
// Part 1: Base Filter
AzureDiagnostics
| where TimeGenerated > ago(LookbackDays * 1d)
| where Category has ""AzureFirewall""
| where OperationName has_any (""AzureFirewallApplicationRule"", ""AzureFirewallNetworkRule"")
// Part 2: Enrichment
| extend msg = parse_json(msg_s)
| extend SourceIP = tostring(split(tostring(msg), "" "")[3])
| extend DestIP = tostring(split(tostring(msg), "" "")[5])
| extend Action = tostring(split(tostring(msg), "" "")[0])
// Final Output
| project TimeGenerated, Resource, OperationName, SourceIP, DestIP, Action, msg_s
| sort by TimeGenerated desc
| take 50"
3.1.20,Verify and control external connections,Access Control,Azure NSG,Network Flow,AzureNetworkAnalytics_CL,"// NIST 3.1.20 - NSG Flow Log Analysis for External Connections
// Part 0: Analyst-Driven Targeting
let TargetNSGs = dynamic([""*""]);
let LookbackDays = 7;
// Part 1: Base Filter
AzureNetworkAnalytics_CL
| where TimeGenerated > ago(LookbackDays * 1d)
| where SubType_s == ""FlowLog""
| where FlowDirection_s == ""O""
| where (NSGName_s has_any (TargetNSGs) or TargetNSGs has ""*"")
// Part 2: Enrichment
| extend IsPublicDest = not(ipv4_is_private(DestIP_s))
| where IsPublicDest == true
// Final Output
| project TimeGenerated, NSGName_s, SrcIP_s, DestIP_s, DestPort_d, FlowDirection_s, FlowStatus_s, L7Protocol_s, AllowedInFlows_d, DeniedInFlows_d, AllowedOutFlows_d, DeniedOutFlows_d
| sort by TimeGenerated desc
| take 50"
3.1.20,Verify and control external connections,Access Control,Entra ID,External Identities,AuditLogs,"// NIST 3.1.20 - B2B/External Guest Invitations and Access
// Part 0: Analyst-Driven Targeting
let TargetOperations = dynamic([""Invite external user"", ""Redeem external user invite"", ""Add partner to cross-tenant access setting""]);
let LookbackDays = 30;
// Part 1: Base Filter
AuditLogs
| where TimeGenerated > ago(LookbackDays * 1d)
| where OperationName has_any (TargetOperations)
// Part 2: Enrichment
| extend InitiatedBy_User = tostring(InitiatedBy.user.userPrincipalName)
| extend TargetUser = tostring(TargetResources[0].userPrincipalName)
| extend TargetDisplayName = tostring(TargetResources[0].displayName)
// Final Output
| project TimeGenerated, OperationName, InitiatedBy_User, TargetUser, TargetDisplayName, Result, Category
| sort by TimeGenerated desc
| take 50"
3.1.22,Control public information,Access Control,Microsoft Purview,Data Classification,InformationProtectionEvents_CL,"// NIST 3.1.22 - Sensitivity Label Activity on Documents
// Part 0: Analyst-Driven Targeting
let TargetLabels = dynamic([""*""]);
let TargetUsers = dynamic([""*""]);
let LookbackDays = 30;
// Part 1: Base Filter
InformationProtectionEvents_CL
| where TimeGenerated > ago(LookbackDays * 1d)
| where (LabelName_s has_any (TargetLabels) or TargetLabels has ""*"")
| where (UserId_s has_any (TargetUsers) or TargetUsers has ""*"")
// Final Output
| project TimeGenerated, UserId_s, LabelName_s, Activity_s, ObjectId_s, MachineName_s, Application_s, DeviceName_s
| sort by TimeGenerated desc
| take 50"
3.1.22,Control public information,Access Control,Microsoft Purview,DLP,DLPActionEvents,"// NIST 3.1.22 - Data Loss Prevention Actions
// Part 0: Analyst-Driven Targeting
let TargetPolicies = dynamic([""*""]);
let TargetUsers = dynamic([""*""]);
let LookbackDays = 30;
// Part 1: Base Filter
DLPActionEvents
| where TimeGenerated > ago(LookbackDays * 1d)
| where (PolicyName has_any (TargetPolicies) or TargetPolicies has ""*"")
// Part 2: Enrichment
| extend SensitiveInfoType = tostring(SensitiveInfoTypeData)
// Final Output
| project TimeGenerated, PolicyName, RuleName, ActionType, TargetFilePath, SharePointSiteUrl, AccountName, SensitiveInfoType, Severity
| sort by TimeGenerated desc
| take 50"
3.1.22,Control public information,Access Control,Microsoft Defender for Cloud,Exposure Detection,SecurityRecommendation,"// NIST 3.1.22 - Public Exposure Recommendations
// Part 0: Analyst-Driven Targeting
let TargetCategories = dynamic([""Networking"", ""Data""]);
// Part 1: Base Filter
SecurityRecommendation
| where RecommendationState == ""Active""
| where Properties has_any (""public"", ""internet"", ""exposed"", ""unrestricted"")
// Part 2: Enrichment
| extend ResourceName = tostring(Properties.resourceName)
| extend ControlName = tostring(Properties.controlName)
// Final Output
| project TimeGenerated, RecommendationDisplayName, RecommendationState, ResourceName, ControlName, RecommendationSeverity, Description
| sort by RecommendationSeverity desc
| take 50"
3.1.22,Control public information,Access Control,Microsoft Defender for Cloud,Security Posture,SecurityAlert,"// NIST 3.1.22 - Security Alerts Related to Public Exposure
// Part 0: Analyst-Driven Targeting
let TargetSeverities = dynamic([""High"", ""Medium"", ""Low""]);
let LookbackDays = 30;
// Part 1: Base Filter
SecurityAlert
| where TimeGenerated > ago(LookbackDays * 1d)
| where AlertSeverity has_any (TargetSeverities)
| where Description has_any (""public"", ""exposed"", ""internet-facing"", ""storage"", ""blob"")
// Final Output
| project TimeGenerated, AlertName, AlertSeverity, Description, RemediationSteps, ProviderName, ResourceId, Status, Entities
| sort by TimeGenerated desc
| take 50"
3.1.22,Control public information,Access Control,Microsoft Defender for Cloud Apps,File Monitoring,CloudAppEvents,"// NIST 3.1.22 - External File Sharing Detection
// Part 0: Analyst-Driven Targeting
let TargetActions = dynamic([""SharingSet"", ""AnonymousLinkCreated"", ""CompanyLinkCreated"", ""SharingInvitationCreated"", ""FileUploaded""]);
let TargetUsers = dynamic([""*""]);
let LookbackDays = 30;
// Part 1: Base Filter
CloudAppEvents
| where TimeGenerated > ago(LookbackDays * 1d)
| where ActionType has_any (TargetActions)
| where (AccountId has_any (TargetUsers) or TargetUsers has ""*"")
// Final Output
| project TimeGenerated, ActionType, AccountId, Application, ObjectName, ObjectType, IPAddress, CountryCode
| sort by TimeGenerated desc
| take 50"
